Facility Name,DBA,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Inspection Results and Facility Details,Phone
AMERICAN VISION SEASONS MSP OVERLAND PARK LLC,SILVERADO OVERLAND PARK,N046095, Residential Health Care Facility,12701 PFLUMM ROAD,OVERLAND PARK,JOHNSON,KS,66213,RHIANNON CLARK,Inspection Results and Facility Details,913-490-5035
AMERICARE AT GRAND PLAINS SKILLED NURSING AND REHABILITATION LLC,GRAND PLAINS SKILLED NURSING BY AMERICARE,N076004,Nursing Facility,331 NE STATE ROAD 61,PRATT,PRATT,KS,67124,ALISHA CRAFT,Inspection Results and Facility Details,620-330-9850
ANDBE HOME INC,ANDBE HOME ACRES,N069011, Assisted Living Facility,200 WHISPERING PINES AVENUE,NORTON,NORTON,KS,67654,MEGAN MAPES,Inspection Results and Facility Details,785-877-2601
ANDBE HOME INC,,N069001,Nursing Facility,201 W CRANE STREET,NORTON,NORTON,KS,67654-1117,MEGAN MAPES,Inspection Results and Facility Details,785-877-2601
ANDERSON COUNTY HOSPITAL LTCU,,H002101,Long Term Care Unit,421 S. MAPLE STREET,GARNETT,ANDERSON,KS,66032-1334,PATRICK ALTENHOFEN,Inspection Results and Facility Details,785-448-3131
ANDOVER COURT ASSISTED LIVING,,N008010, Assisted Living Facility,721 W. 21ST STREET,ANDOVER,BUTLER,KS,67002-8491,MICHAEL R MILLER,Inspection Results and Facility Details,316-733-2662
ANEW HEALTH LLC,,H046025,Accredited Hospital/Psychiatric CERT,6815 HILLTOP RD STE 100,SHAWNEE,JOHNSON,KS,66226,KENNETH PFLUMM,Inspection Results and Facility Details,317-870-1396
ANEW HEALTHCARE OPERATIONS - EASTON LLC,ANEW HEALTHCARE EASTON,N052002,Nursing Facility,515 DAWSON,EASTON,LEAVENWORTH,KS,66020-0279,LINDSEY WOOD,Inspection Results and Facility Details,913-773-5517
ANEW HEALTHCARE OPERATIONS - OXFORD LLC,ANEW HEALTHCARE OXFORD,N096005,Nursing Facility,200 S OHIO STREET,OXFORD,SUMNER,KS,67119-8080,VALERIE BAKER,Inspection Results and Facility Details,620-455-2214
ANEW HEALTHCARE OPERATIONS LLC,ANEW HEALTHCARE,N044003,Nursing Facility,412 E WALNUT ST,NORTONVILLE,JEFFERSON,KS,66060,LINDSEY WOOD,Inspection Results and Facility Details,913-886-6400
ANEW HEALTHCARE OPERATIONS LLC,ANEW HEALTHCARE ESTATES,N044004, Assisted Living Facility,415 E WALNUT ST,NORTONVILLE,JEFFERSON,KS,66060,MARK HASTINGS,Inspection Results and Facility Details,913-886-6400
"ANEW HEALTHCARE OPERATIONS- PLEASANTON, LLC",ANEW HEALTHCARE PLEASANTON,N054005, Residential Health Care Facility,706 W. 15TH STREET,PLEASANTON,LINN,KS,66075,BELINDA ERNEST SMITH,Inspection Results and Facility Details,913-352-6658
"ANEW HEALTHCARE OPERATIONS-HOLTON, LLC",ANEW HEALTHCARE HOLTON,N043001,Nursing Facility,1121 W 7TH ST,HOLTON,JACKSON,KS,66436-1123,JENNIFER BAHR-SLOCUM,Inspection Results and Facility Details,785-328-4636
ANGEL ARMS,,N059017, Residential Health Care Facility,1318 OAKLANE,MCPHERSON,MCPHERSON,KS,67460-2522,DEJA HOUSE,Inspection Results and Facility Details,620-245-0848
ANTHONY COMMUNITY CARE CENTER,,N039001,Nursing Facility,212 N. 5TH AVENUE,ANTHONY,HARPER,KS,67003-2106,TERESA ACHILLES,Inspection Results and Facility Details,620-842-5187
APOSTOLIC CHRISTIAN HOME,,N066001,Nursing Facility<BR> Assisted Living Facility,511 PARAMOUNT,SABETHA,NEMAHA,KS,66534,RICK A ABERLE,Inspection Results and Facility Details,785-284-3471
"ARHC PVVLGKS01 TRS, LLC",ADDINGTON PLACE OF PRAIRIE VILLAGE,N046086, Assisted Living Facility<BR> Residential Health Care Facility,2700 SOMERSET DRIVE,PRAIRIE VILLAGE,JOHNSON,KS,66206,CAROLINE MATHIA,Inspection Results and Facility Details,913-648-3333
ARMA OPERATOR LLC,ARMA HEALTH AND REHAB,N019001,Nursing Facility,605 E MELVIN STREET,ARMA,CRAWFORD,KS,66712,JENIFER MOREY,Inspection Results and Facility Details,620-347-4103
ASBURY VILLAGE,,N063012, Residential Health Care Facility,3800 ASBURY DR,COFFEYVILLE,MONTGOMERY,KS,67337-337,AMANDA AUGUSTINE,Inspection Results and Facility Details,620-251-6270
ATTICA LONG TERM CARE,,N039003,Nursing Facility,302 N BOTKIN,ATTICA,HARPER,KS,67009,HOLLY NOBLE,Inspection Results and Facility Details,620-254-7253
AUTUMN HOME PLUS 2,,B089087,Home Plus,720 NW WALNUT LANE,TOPEKA,SHAWNEE,KS,66617,JASON CREOLLO,Inspection Results and Facility Details,785-845-2238
AUTUMN HOME PLUS 3,,B089095,Home Plus,750 NW WALNUT LN,TOPEKA,SHAWNEE,KS,66617,JASON CREOLLO,Inspection Results and Facility Details,785-845-2238
AUTUMN HOME PLUS INC,,B089068,Home Plus,747 NW WALNUT LANE,TOPEKA,SHAWNEE,KS,66617,JASON CREOLLO,Inspection Results and Facility Details,785-845-2238
AVENUE 81 IAOP LLC,AVENUE 81,N046107, Assisted Living Facility,8055 METCALF AVE,OVERLAND PARK,JOHNSON,KS,66204,CAROL FEAKER,Inspection Results and Facility Details,913-246-3690
"AZARA HOME PLUS, LLC",AZARA HOME PLUS,B087263,Home Plus,2501 N ROOSEVELT CT,WICHITA,SEDGWICK,KS,67220,CARMEN PONCE-VARGAS,Inspection Results and Facility Details,316-633-2412
"AZW, LLC",AZRIA HEALTH WICHITA,N087084,Nursing Facility<BR> Assisted Living Facility,7057 WEST VILLAGE CIRCLE,WICHITA,SEDGWICK,KS,67205,PEGGY HACKETT,Inspection Results and Facility Details,316-977-7015
"BASEHOR MEMORY CARE, LLC",CREDO MEMORY CARE OF BASEHOR I,N052013, Residential Health Care Facility,15695 PINEHURST DRIVE,BASEHOR,LEAVENWORTH,KS,66007,MICHAELA MOCK,Inspection Results and Facility Details,913-662-7330
"BASEHOR MEMORY CARE, LLC",CREDO MEMORY CARE OF BASEHOR II,N052014, Residential Health Care Facility,15691 PINEHURST DRIVE,BASEHOR,LEAVENWORTH,KS,66007,MICHAELA MOCK,Inspection Results and Facility Details,913-662-7330
BELLEVILLE HEALTHCARE AND REHABILITATION CENTER LLC,BELLEVILLE HEALTHCARE AND REHABILITATION CENTER,N079001,Nursing Facility,2626 WESLEYAN DRIVE,BELLEVILLE,REPUBLIC,KS,66935,SWEDE SWAGERTY,Inspection Results and Facility Details,785-527-5636
BEST CARE HOME PLUS LLC,,B087271,Home Plus,742 W 50TH CT S,WICHITA,SEDGWICK,KS,67217,MARY SAMBOU,Inspection Results and Facility Details,601-345-6961
BETHANY HOME ASSOCIATION,,N059001,Nursing Facility,321 N CHESTNUT,LINDSBORG,MCPHERSON,KS,67456,JOSEPH BENTER,Inspection Results and Facility Details,785-227-2334
BETHANY HOME ASSOCIATION DBA VARDSHUS,,N059018, Assisted Living Facility,821 E. SWENSSON DRIVE,LINDSBORG,MCPHERSON,KS,67456,,Inspection Results and Facility Details,785-227-8331
BETHEL HEALTH CARE CENTER,,N040001,Nursing Facility<BR> Assisted Living Facility,3001 IVY DRIVE,NORTH NEWTON,HARVEY,KS,67117-8005,JENNIFER TRAGLIA,Inspection Results and Facility Details,316-284-2900
BETHEL HOME INC,,N035001,Nursing Facility,300 S AZTEC ST,MONTEZUMA,GRAY,KS,67867,BRIAN KOEHN,Inspection Results and Facility Details,620-846-2241
BETHEL HOUSE,,B087145,Home Plus,1316 CHARLOTTE ST,WICHITA,SEDGWICK,KS,67208-2659,BRANDI BUNYAN,Inspection Results and Facility Details,316-440-4406
BETHESDA HOME,,N057006,Nursing Facility<BR> Assisted Living Facility,408 E MAIN PO BOX 37,GOESSEL,MARION,KS,67053-37,SARA HIEBERT,Inspection Results and Facility Details,620-367-2291
BIG BLUE HEALTHCARE LLC,RIVERBEND POST ACUTE REHABILITATION,N105006,Nursing Facility<BR> Assisted Living Facility,7850 FREEMAN AVENUE,KANSAS CITY,WYANDOTTE,KS,66112-2133,TRACY BOHRER,Inspection Results and Facility Details,913-334-3666
BKD CLARE BRIDGE OF WICHITA LLC,BROOKDALE EAST WICHITA,N087054, Residential Health Care Facility,9191 E 21ST STREET NORTH,WICHITA,SEDGWICK,KS,67206-2923,JENNIFER OSBORN,Inspection Results and Facility Details,316-630-0788
BKD STERLING HOUSE OF JUNCTION CITY LLC,BROOKDALE JUNCTION CITY,N031004, Assisted Living Facility,1022 N CAROLINE AVENUE,JUNCTION CITY,GEARY,KS,66441,CHRISTINE MARIE POWERS,Inspection Results and Facility Details,785-762-3123
BKD STERLING HOUSE OF WICHITA - TALLGRASS LLC,BROOKDALE TALLGRASS,N087037, Assisted Living Facility,8600 E 21ST NORTH,WICHITA,SEDGWICK,KS,67206,CHARLES GUERRERO,Inspection Results and Facility Details,316-684-3100
BONNER SPRINGS LIVING LLC,ADVENA LIVING OF BONNER SPRINGS,N105001,Nursing Facility,520 E MORSE AVENUE,BONNER SPRINGS,WYANDOTTE,KS,66012-1911,JACQUELINE HOLLIS,Inspection Results and Facility Details,913-441-2515
BORA CARE HOME PLUS,,B087274,Home Plus,1172 N PINECREST STREET,WICHITA,SEDGWICK,KS,67208,SELINA ALWORA,Inspection Results and Facility Details,661-794-9182
BRANCHES SENIOR LIVING LLC,,B087272,Home Plus,6222 BEACHY,WICHITA,SEDGWICK,KS,67208,GAYLA PALECKI,Inspection Results and Facility Details,316-737-7207
BREWSTER HEALTH CENTER,,N089001,Nursing Facility<BR> Residential Health Care Facility,1001 SW 29TH ST,TOPEKA,SHAWNEE,KS,66611-1299,CINDY TANNER,Inspection Results and Facility Details,785-267-1666
BRIDGE HAVEN MD MEMORY CARE LLC,OPA'S HOUSE,B023019,Home Plus,1701 RESEARCH PARK DRIVE,LAWRENCE,DOUGLAS,KS,66047,SARAH RANDOLPH,Inspection Results and Facility Details,785-856-0735
BRIDGE HAVEN MD MEMORY CARE LLC,MADEL'S HOUSE,B023021,Home Plus,1701 RESEARCH PARK DR,LAWRENCE,DOUGLAS,KS,66047,SARAH RANDOLPH,Inspection Results and Facility Details,785-856-0027
BRIDGE HAVEN MD MEMORY CARE LLC,ELTERN'S HOUSE,B023025,Home Plus,1701 RESEARCH PARK DR,LAWRENCE,DOUGLAS,KS,66047,SARAH RANDOLPH,Inspection Results and Facility Details,785-856-0297
BRIDGE HAVEN MD MEMORY CARE LLC,OMA'S HOUSE,B023016,Home Plus,1701 RESEARCH PARK DRIVE,LAWRENCE,DOUGLAS,KS,66047,SARAH RANDOLPH,Inspection Results and Facility Details,785-856-4181
BRIGHTON PLACE NORTH,,N089009,Mental Health Nursing Facility,1301 NE JEFFERSON ST,TOPEKA,SHAWNEE,KS,66608-1118,JORDAN HOEME,Inspection Results and Facility Details,785-233-5127
BRIGHTON PLACE WEST HEALTH CENTER LLC,BRIGHTON PLACE WEST HEALTH CENTER,N089012,Mental Health Nursing Facility,331 SOUTHWEST OAKLEY AVENUE,TOPEKA,SHAWNEE,KS,66606,STEPHANIE MORRIS,Inspection Results and Facility Details,785-232-1212
BROOKDALE COLLEGE SQUARE,,N046047, Residential Health Care Facility,11000 OAKMONT ST,OVERLAND PARK,JOHNSON,KS,66210,,Inspection Results and Facility Details,913-491-1144
BROOKDALE DERBY,,N087038, Assisted Living Facility,1709 E WALNUT GROVE,DERBY,SEDGWICK,KS,67037-3528,AUDREY COOK,Inspection Results and Facility Details,316-788-6100
BROOKDALE DODGE CITY,,N029007, Assisted Living Facility,2400 N. 14TH AVENUE,DODGE CITY,FORD,KS,67801-2313,ERICA RUIZ,Inspection Results and Facility Details,620-225-7555
BROOKDALE GREAT BEND,,N005005, Assisted Living Facility,1206 PATTON ROAD,GREAT BEND,BARTON,KS,67530-3118,SHERI L JOHNSON,Inspection Results and Facility Details,620-792-7000
BROOKDALE HAYS,,N026008, Assisted Living Facility,1801 E. 27TH STREET,HAYS,ELLIS,KS,67601,LISA LEIKER,Inspection Results and Facility Details,785-628-1111
BROOKDALE LEAWOOD STATE LINE,,N046052, Residential Health Care Facility,12724 STATELINE ROAD,LEAWOOD,JOHNSON,KS,66209,LAURA WINTERS,Inspection Results and Facility Details,913-345-8808
BROOKDALE MCPHERSON,,N059016, Assisted Living Facility,1460 N. MAIN STREET,MCPHERSON,MCPHERSON,KS,67460-1902,KAREN KRUPP,Inspection Results and Facility Details,620-241-6600
BROOKDALE OVERLAND PARK,,N046079,Nursing Facility<BR> Assisted Living Facility<BR> Residential Health Care Facility,12000 LAMAR,OVERLAND PARK,JOHNSON,KS,66209,KIM ELLIS,Inspection Results and Facility Details,913-663-2888
BROOKDALE ROSEHILL,,N046063,Nursing Facility<BR> Assisted Living Facility,12802 JOHNSON DR,SHAWNEE,JOHNSON,KS,66216-,BRETT PU,Inspection Results and Facility Details,913-962-7600
BROOKDALE SALINA FAIRDALE,,N085010, Assisted Living Facility,2251 E CRAWFORD STREET,SALINA,SALINE,KS,67401,JENNIFER SHAW,Inspection Results and Facility Details,785-823-8600
BROOKDALE SALINA KIRWIN,,N085009, Assisted Living Facility,1200 E KIRWIN AVE,SALINA,SALINE,KS,67401-6300,ALICIA WOLF,Inspection Results and Facility Details,785-825-8200
BROOKDALE SHAWNEE,,N046053, Residential Health Care Facility,11400 W 65TH ST,SHAWNEE,JOHNSON,KS,66203-5555,VICTORIA M. JONES,Inspection Results and Facility Details,913-248-1500
BROOKDALE TOPEKA,,N089040, Residential Health Care Facility,5800 SW DRURY LANE,TOPEKA,SHAWNEE,KS,66604-2262,DAVID D. NORTON,Inspection Results and Facility Details,785-271-5100
BROOKSIDE RETIREMENT COMMUNITY,,N070001,Nursing Facility,700 W 7TH,OVERBROOK,OSAGE,KS,66524,SCOTT AVERILL,Inspection Results and Facility Details,785-665-7124
BROOKSIDE RETIREMENT COMMUNITY ASSISTED LIVING,,N070008, Assisted Living Facility,702 W 7TH PO BOX 308,OVERBROOK,OSAGE,KS,66524-308,DENISE HOBACK,Inspection Results and Facility Details,785-665-3246
BUHLER SUNSHINE HOME,,N078009,Nursing Facility<BR> Assisted Living Facility,400 S BUHLER RD,BUHLER,RENO,KS,67522-,NATHAN SPENCER,Inspection Results and Facility Details,620-543-2251
"CA SENIOR OLATHE OPERATOR, LLC",ANTHOLOGY OF OLATHE,N046090, Residential Health Care Facility,101 W 151ST STREET,OLATHE,JOHNSON,KS,66061,ALEXANDRIA KARAS,Inspection Results and Facility Details,913-791-0020
CAMBRIDGE BLUE VALLEY SENIOR LIVING LLC,CAMBRIDGE PLACE,N058003,Nursing Facility<BR> Residential Health Care Facility,1100 N. 16TH STREET,MARYSVILLE,MARSHALL,KS,66508,JULIE FOX,Inspection Results and Facility Details,785-562-5321
"CARE HAVEN HOMES, LLC",CARE HAVEN HOMES - SOUTHMOOR,B046030,Home Plus,7010 W 69TH TERR,OVERLAND PARK,JOHNSON,KS,66204-1311,NEIL BARNETT,Inspection Results and Facility Details,913-643-0111
"CARE HAVEN HOMES, LLC",CARE HAVEN HOMES - FONTANA,B046039,Home Plus,10001 FONTANA LANE,OVERLAND PARK,JOHNSON,KS,66207-3639,JULIE RATHJEN,Inspection Results and Facility Details,913-643-0111
"CARE HAVEN HOMES, LLC",CARE HAVEN HOMES - OVERBROOK,B046033,Home Plus,9833 OVERBROOK COURT,LEAWOOD,JOHNSON,KS,66207-2352,JULIE RATHJEN,Inspection Results and Facility Details,913-643-0111
"CARE HAVEN HOMES, LLC",CARE HAVEN HOMES - WYCKLOW,B046061,Home Plus,3 WYCKLOW STREET,OVERLAND PARK,JOHNSON,KS,66207-4005,NEIL BARNETT,Inspection Results and Facility Details,913-643-0111
"CARE HAVEN HOMES, LLC",CARE HAVEN HOMES - SUNFLOWER,B046052,Home Plus,9218 LEE BOULEVARD,LEAWOOD,JOHNSON,KS,66206-1822,NEIL BARNETT,Inspection Results and Facility Details,913-643-0111
"CARE HAVEN HOMES, LLC",CARE HAVEN HOMES - BROADMOOR,B046050,Home Plus,7001 W 69TH STREET,OVERLAND PARK,JOHNSON,KS,66204-1308,NEIL BARNETT,Inspection Results and Facility Details,913-643-0111
CARITAS CENTER INC,,N087064,Nursing Facility,1400 S SHERIDEN STREET,WICHITA,SEDGWICK,KS,67213-1336,SUE ROUGHTON,Inspection Results and Facility Details,316-942-2201
CARRINGTON AT CHERRY CREEK,,N087043, Assisted Living Facility,8200 E PAWNEE ST,WICHITA,SEDGWICK,KS,67207-3448,DENNIS BUSH,Inspection Results and Facility Details,316-684-0905
CARRINGTON RETIREMENT COMMUNITY,,N019010, Residential Health Care Facility,1909 E. 4TH STREET,PITTSBURG,CRAWFORD,KS,66762-9100,LINDSEY TEEL,Inspection Results and Facility Details,620-235-1212
"CATHOLIC CARE CENTER, INC.",CATHOLIC CARE CENTER,N087001,Nursing Facility<BR> Assisted Living Facility<BR> Residential Health Care Facility,6700 E 45TH ST N,BELAIRE,SEDGWICK,KS,67226-9970,DEVON HIEBERT,Inspection Results and Facility Details,316-744-2020
CATHOLIC CHARITIES ADULT DAY SERVICES,,B087117,Adult Day Care,2235 W 37TH STREET NORTH,WICHITA,SEDGWICK,KS,67204,DANA M. BOND,Inspection Results and Facility Details,316-942-2008
CCRC OF LENEXA LLC,WESTCHESTER VILLAGE OF LENEXA,N046085,Nursing Facility<BR> Assisted Living Facility,8505 PFLUMM ROAD,LENEXA,JOHNSON,KS,66215-2461,HALEY NICKLES,Inspection Results and Facility Details,913-307-2000
CCRC OF OVERLAND PARK,COLONIAL VILLAGE,N046103,Nursing Facility<BR> Assisted Living Facility,12500 W. 137TH ST,OVERLAND PARK,JOHNSON,KS,66221,DANIEL L CHIK,Inspection Results and Facility Details,913-730-3700
CEDAR LAKE VILLAGE,,N046059, Assisted Living Facility,15325 S. LONE ELM ROAD,OLATHE,JOHNSON,KS,66061-5331,ROBERT MILLION,Inspection Results and Facility Details,913-780-9916
"CEDARHURST OF LAWRENCE OPERATOR, LLC",CEDARHURST OF LAWRENCE,N023025, Assisted Living Facility<BR> Residential Health Care Facility,4450 BAUER FARM DRIVE,LAWRENCE,DOUGLAS,KS,66049-9044,STEPHANIE HARMS,Inspection Results and Facility Details,785-813-8818
"CEDARHURST OF SALINA OPERATOR, LLC",CEDARHURST OF SALINA,N085014, Assisted Living Facility<BR> Residential Health Care Facility,2605 S OHIO STREET,SALINA,SALINE,KS,67401,MELISSA RAE HOLCOM,Inspection Results and Facility Details,785-403-0257
"CEDARHURST OF TOPEKA OPERATOR, LLC",CEDARHURST OF TOPEKA,N089069, Assisted Living Facility<BR> Residential Health Care Facility,6732 SW 17TH STREET,TOPEKA,SHAWNEE,KS,66615,JESSIE BIRD,Inspection Results and Facility Details,785-730-2775
"CEDARHURST OF WICHITA OPERATOR, LLC",CEDARHURST OF WICHITA,N087090, Assisted Living Facility<BR> Residential Health Care Facility,11820 W 29TH N,WICHITA,SEDGWICK,KS,67205-8502,TERRI HUTTON,Inspection Results and Facility Details,314-941-4628
CENTER AT WATERFRONT LLC,THE CENTER AT WATERFRONT,N087086,Nursing Facility,1541 NORTH LINDBERG CIRCLE,WICHITA,SEDGWICK,KS,67206,DAVID E. SMITH,Inspection Results and Facility Details,316-358-6400
CENTRAL CARE PLUS LLC,,B087277,Home Plus,629 LONGFELLOW STREET,WICHITA,SEDGWICK,KS,67207,ROLEX MUDIBO,Inspection Results and Facility Details,316-806-5951
CHAPMAN VALLEY MANOR,,N021001,Nursing Facility,1009 N MARSHALL PO BOX 219,CHAPMAN,DICKINSON,KS,67431,AMANDA JEARDOE,Inspection Results and Facility Details,785-922-6525
CHAPTERS ANTIOCH LLC,,N046060, Assisted Living Facility,12700 ANTIOCH ROAD,OVERLAND PARK,JOHNSON,KS,66213-2723,SHAWN COATES,Inspection Results and Facility Details,913-825-9600
CHAPTERS LAMAR LLC,,N046051, Assisted Living Facility,11909 LAMAR,OVERLAND PARK,JOHNSON,KS,66209-,ERIC MARTINEZ,Inspection Results and Facility Details,913-285-8419
CHASE COUNTY OPERATOR LLC,CHASE COUNTY CARE AND REHABILITATION CENTER,N009001,Nursing Facility,612 WALNUT STREET,COTTONWOOD FALLS,CHASE,KS,66845-9798,MARY MONTGOMERY,Inspection Results and Facility Details,620-273-6360
CHENEY GOLDEN AGE HOME,,N087002,Nursing Facility,724 N MAIN PO BOX 370,CHENEY,SEDGWICK,KS,67025-,JESSICA MARTIN,Inspection Results and Facility Details,316-540-3691
CHENEY GOLDEN AGE HOME PLUS,,B087183,Home Plus,802 NORTH MAIN STREET,CHENEY,SEDGWICK,KS,67025-0370,AMBER PEYTON,Inspection Results and Facility Details,316-540-3691
CHERRYVALE MANAGEMENT LLC,ADVENA LIVING OF CHERRYVALE,N063002,Nursing Facility,1001 W MAIN STREET PO BOX 366,CHERRYVALE,MONTGOMERY,KS,67335,MELISSA PRESTON,Inspection Results and Facility Details,620-336-2102
"CHEYENNE COUNTY VILLAGE, INC",,N012001,Nursing Facility<BR> Assisted Living Facility,820 S. DENISON STREET,ST. FRANCIS,CHEYENNE,KS,67756-0747,DAPHNE MCTAGUE,Inspection Results and Facility Details,785-332-2531
CHISHOLM PLACE,,N087071, Residential Health Care Facility,1859 N. WEBB ROAD,WICHITA,SEDGWICK,KS,67206,SARA MILLER,Inspection Results and Facility Details,316-558-5775
CHRIST CARE HOME PLUS LLC,,B087215,Home Plus,7901 W JENNIE STREET,WICHITA,SEDGWICK,KS,67212-3072,RUBINA ANWAR,Inspection Results and Facility Details,316-308-6488
CITIZENS MEDICAL CENTER LTCU,,H097101,Nursing Facility,1625 S. FRANKLIN AVENUE,COLBY,THOMAS,KS,67701-667,GREG UNRUH,Inspection Results and Facility Details,785-462-8295
"CL LARNED, LLC",COUNTRY LIVING OF LARNED HOME PLUS II,B073002,Home Plus,712 WEST 9TH,LARNED,PAWNEE,KS,67550,DANA ATTEBERRY,Inspection Results and Facility Details,620-285-6900
"CL LARNED, LLC",COUNTRY LIVING OF LARNED,N073002, Assisted Living Facility,714 W. 9TH STREET,LARNED,PAWNEE,KS,67550,DANA ATTEBERRY,Inspection Results and Facility Details,620-285-6900
"CL LARNED, LLC",COUNTRY LIVING OF LARNED HOME PLUS,B073001,Home Plus,710 WEST 9TH STREET,LARNED,PAWNEE,KS,67550,DANA ATTEBERRY,Inspection Results and Facility Details,620-285-6212
"CL LYONS, LLC",COUNTRY LIVING OF LYONS,N080004, Assisted Living Facility,502 SOUTH MILES,LYONS,RICE,KS,67554,TONI MARIE GUYTON,Inspection Results and Facility Details,620-257-5012
CLARIDGE COURT,,N046036,Nursing Facility,8101 MISSION DRIVE,PRAIRIE VILLAGE,JOHNSON,KS,66208,EMILY FILLA,Inspection Results and Facility Details,913-383-2085
CLAY CENTER LIVING LLC,ADVENA LIVING OF CLAY CENTER,N014004,Nursing Facility,715 LIBERTY STREET,CLAY CENTER,CLAY,KS,67432,GLENN BLACKLOCK,Inspection Results and Facility Details,785-632-5696
"CLAY COUNTY ASSISTED LIVING, LLC",LIBERTY PLACE ASSISTED LIVING,N014005, Assisted Living Facility,722 LIBERTY STREET,CLAY CENTER,CLAY,KS,67432,CINDY HABLUETZEL,Inspection Results and Facility Details,785-632-5052
"CLEARSKY REHABILITATION HOSPITAL OF ELWOOD ST JOSEPH, LLC",,H022001,Non-Accredited Hospital SPEC,502 ROSEPORT ROAD,ELWOOD,DONIPHAN,KS,66090,TODD SANDBERG,Inspection Results and Facility Details,913-348-4453
CLEARWATER AL OPCO LLC,CLEARWATER VILLAGE,N087053, Assisted Living Facility,440 N 4TH STREET,CLEARWATER,SEDGWICK,KS,67026,PAMELA DARNALL,Inspection Results and Facility Details,620-584-4257
CLEARWATER LIVING LLC,ADVENA LIVING OF CLEARWATER,N087016,Nursing Facility,620 E WOOD ST,CLEARWATER,SEDGWICK,KS,67026-9757,LAUREN HICKS,Inspection Results and Facility Details,620-584-2271
CLOVER CARE,,B046049,Home Plus,6320 ZARDA DRIVE,SHAWNEE,JOHNSON,KS,66226,MELANIE KLOVER,Inspection Results and Facility Details,913-991-2605
COLBY OPERATOR LLC,COLBY HEALTH AND REHAB,N097002,Nursing Facility,105 E. COLLEGE DRIVE,COLBY,THOMAS,KS,67701,SHERRY WAHL,Inspection Results and Facility Details,785-462-6721
COLLEGE HILLS OPCO LLC,LEGACY AT COLLEGE HILL,N087018,Nursing Facility,5005 E 21ST STREET NORTH,WICHITA,SEDGWICK,KS,67208-1604,JOLENE SINGHATEH,Inspection Results and Facility Details,316-685-9291
COLONIAL OAKS BLACKHAWK LLC,COLONIAL OAKS AT SPRING HILL,N046066, Assisted Living Facility,22550 S FRANKLIN STREET,SPRING HILL,JOHNSON,KS,66083,ANGELA CAREY,Inspection Results and Facility Details,913-686-3170
COLONIAL OAKS LEAWOOD LLC,COLONIAL OAKS AT LEAWOOD,N046065, Assisted Living Facility<BR> Residential Health Care Facility,5201 W. 143RD STREET,OVERLAND PARK,JOHNSON,KS,66224,RACHELLE KIRK,Inspection Results and Facility Details,913-685-4800
